"","player","team","gp","pim_60","ev_goals_60","ev_assists_60","shot_att_60","shot_pct","thru_pct","ev_60","toi_even","blk_60","hit_60","cf_60","ca_60","corsi_pct","oishot_pct","oisv_pct","off_zs_pct","takeaway_60","giveaway_60","cluster","defense","offense","scoring"
"128","Josh Manson","ANA",50,2.15116279069767,0.0680529300567108,0.476370510396975,8.02325581395349,1.6,46.4,51.2596899224806,17.6333333333333,3.77906976744186,6.56976744186047,58.593572778828,58.6616257088847,50,6.4,91.1,48.3,1.22093023255814,2.38372093023256,"Stay-at-Home Defender",-0.751754981357447,-0.731080619969349,-2.4814079434914
"129","Josh Morrissey","WPG",65,0.972972972972973,0.184308204274926,0.691155766030974,10.4594594594595,4.2,46.5,52.7905405405405,20.0333333333333,2.39189189189189,1.37837837837838,55.5228465378216,58.5639319083579,48.7,10,91.4,52.4,0.891891891891892,1.86486486486486,"Two-Way Player",2.06549498029239,3.06387374116143,1.26322863088543
"130","Justin Braun","PHI",62,1.00840336134454,0.190375462718139,0.951877313590693,8.23529411764706,4.3,47.6,52.96918767507,15.25,4.70588235294118,5.09803921568627,52.4167107350608,51.9725013220518,50.2,8.4,90,51.8,0.560224089635854,1.73669467787115,"Stay-at-Home Defender",0.809703268413903,-0.55730055103165,-0.440661443996003
"131","Justin Faulk","STL",69,1.35306553911205,0.192523664367078,0.385047328734157,11.0782241014799,3.4,56.1,52.7103594080338,18.0666666666667,3.21353065539112,3.46723044397463,54.1472806032408,54.0510187710573,50,7.9,91.6,49.7,1.01479915433404,1.64904862579281,"Two-Way Player",1.59551015031794,0.497001601469037,0.597235445967282
"132","Justin Holl","TOR",68,2.04924543288324,0.107713482137514,0.861707857100114,8.81652104845115,2.2,48.1,53.0929308975377,16.3833333333333,3.95552025416998,4.24146147736299,58.542277541739,55.6340135240261,51.3,9,91.7,43.2,1.00079428117554,2.81175536139793,"Forward Playing Defense",-1.22053663519994,0.501931417850226,-0.779298293819545
"133","Justin Schultz","PIT",46,0.393873085339168,0.23154103421662,0.23154103421662,11.6849015317287,3.5,48.3,51.0328227571116,16.9,3.28227571115974,2.36323851203501,55.4926678672498,54.6436840751222,50.4,7.3,89.1,56.4,0.393873085339168,1.18161925601751,"Two-Way Player",4.04488075638352,0.933777298740075,-0.435849600388289
"134","Juuso Riikola","PIT",36,0.72,0.131752305665349,0.527009222661396,9.96,2.6,45.8,54.648,12.65,2.88,8.88,54.5454545454545,49.0118577075099,52.7,6,93.9,56.4,0.96,1.92,"Stay-at-Home Defender",4.1191956479299,-3.17857241931174,-2.82737192967009
"135","Keith Yandle","FLA",69,0.883002207505519,0.165631469979296,1.15942028985507,12.0088300220751,3.9,47.4,47.9801324503311,15.75,2.25165562913907,0.794701986754967,58.8543823326432,60.2898550724638,49.4,9.2,91.7,58.1,1.1037527593819,2.91390728476821,"Norris Candidate",3.47288607339478,5.08822955169817,1.90283536610625
"136","Kevin Shattenkirk","TBL",70,1.72335600907029,0.356435643564356,1.01838755304102,11.156462585034,6.1,53.3,53.4391534391534,16.8333333333333,2.99319727891156,2.81179138321995,59.9321074964639,51.6322489391796,53.7,9.8,93.7,53.2,1.45124716553288,1.54195011337868,"Norris Candidate",3.91918780566748,2.97294118750911,4.20041801890239
"137","Korbinian Holzer","TOT",49,2.82442748091603,0.0864345738295318,0.172869147659064,5.72519083969466,2.6,52,52.9898218829517,14.1666666666667,7.32824427480916,7.40458015267176,44.5138055222089,63.9615846338535,41,6.8,93.7,44.5,0.152671755725191,2.13740458015267,"Healthy Scratch",-8.56995524746707,-7.70242300962344,-5.00065494058075
